session,bill_number,title,index_categories,index_descriptions,last_action,url
2020 Regular Session,HB176,AN ACT relating to employment provisions for employees on parental leave.,Labor and Industry; Parental Rights; Personnel and Employment; Reproductive Issues; Wages and Hours; Women; Administrative Regulations and Proceedings; Men; Local Mandate,"Paid parental leave for employees, employers with fifty or more employees; Paid parental leave for employees, employers with fifty or more employees; Paid parental leave for employees, employers with fifty or more employees; Paid parental leave for employees, employers with fifty or more employees; Paid parental leave for employees, employers with fifty or more employees; Paid parental leave for employees, employers with fifty or more employees; Paid parental leave for employees, employers with fifty or more employees; Paid parental leave for employees, employers with fifty or more employees; Paid parental leave for employees, employers with fifty or more employees",01/07/20: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/20rs/hb176.html
2020 Regular Session,HB137,AN ACT relating to wagering and making an appropriation therefor.,Corrections Impact; Local Mandate; Gambling; Gambling; Gambling; Licensing; Licensing; Licensing; Lottery; Retirement and Pensions,"Sports wagering, licensing of; Sports wagering, licensing of; Fantasy contests, provisions for; Online poker, provisions for; Sports wagering, provisions for; Fantasy contests, licensing of; Online poker, licensing of; Sports wagering, licensing of; Online poker, regulation by Kentucky Lottery Corporation; Gaming tax, funding from","03/17/20: recommitted to Licensing, Occupations, &amp; Admin Regs (H)",https://apps.legislature.ky.gov/record/20rs/hb137.html
2020 Regular Session,HB136,AN ACT relating to medicinal cannabis and making an appropriation therefor.,"Diseases; Drugs and Medicines; Effective Dates, Delayed; Federal Laws and Regulations; Health and Medical Services; Licensing; Occupations and Professions; Physicians and Practitioners; Public Health; Substance Abuse","Medicinal marijuana program, establishment; Medicinal marijuana program, establishment; Medicinal marijuana program, portions to begin January 1, 2021; Medicinal marijuana program, establishment; Medicinal marijuana program, establishment; Medicinal marijuana program, establishment; Medicinal marijuana program, establishment; Medicinal marijuana program, establishment; Medicinal marijuana program, establishment; Medicinal marijuana program, establishment",03/02/20: to Judiciary (S),https://apps.legislature.ky.gov/record/20rs/hb136.html
2020 Regular Session,HB179,AN ACT relating to surprise billing.,"Health Benefit Mandate; Effective Dates, Delayed; Insurance, Health; Physicians and Practitioners; State Agencies; State Employees; Administrative Regulations and Proceedings","Unanticipated out-of-network care, minimum reimbursement for; Unanticipated out-of-network care, reimbursement and billing, January 1, 2021; Unanticipated out-of-network care, minimum reimbursement for; Unanticipated out-of-network care, balancing billing, prohibition against; Department of Insurance, commissioner, database of billed health care service charges; State employee health plan, unanticipated out-of-network care, minimum reimbursement for; Department of Insurance, commissioner, database of billed health care services",01/07/20: to Banking &amp; Insurance (H),https://apps.legislature.ky.gov/record/20rs/hb179.html
2020 Regular Session,HB181,AN ACT proposing an amendment to Section 226 of the Constitution of Kentucky relating to casino gaming.,"Gambling; General Assembly; Retirement and Pensions; Amusements and Recreation; Constitution, Ky.; Actuarial Analysis; Local Mandate","Casino gaming, constitutional amendment, authority for; Casino gaming, constitutional amendment, authority to establish; Casino gaming, allocation of net proceeds; Casino gaming, constitutional amendment, authority for; Casino gaming, amendment, authority for; Casino gaming, constitutional amendment, authority to establish; Casino gaming, constitutional amendment, authority to establish","01/07/20: to Elections, Const. Amendments &amp; Intergovernmental Affairs (H)",https://apps.legislature.ky.gov/record/20rs/hb181.html
2020 Regular Session,HB198,AN ACT relating to health benefit coverage of chronic pain treatments.,"Drugs and Medicines; Effective Dates, Delayed; Health and Medical Services; Health and Medical Services; Insurance, Health; Physicians and Practitioners; Public Medical Assistance; Substance Abuse; Medicaid; Health Benefit Mandate","Alternative treatments, chronic pain; Chronic pain treatments, January 1, 2021; Alternative treatments, chronic pain; Chronic pain treatments, coverage; Chronic pain treatments, coverage; Alternative treatments, chronic pain; Chronic pain treatments, coverage; Alternative treatments, chronic pain; Chronic pain treatments, coverage; Alternative treatments, chronic pain",01/09/20: to Banking &amp; Insurance (H),https://apps.legislature.ky.gov/record/20rs/hb198.html
2020 Regular Session,HB199,AN ACT relating to mental health protection and declaring an emergency.,"Effective Dates, Emergency; Mental Health; Occupations and Professions; Physicians and Practitioners; Boards and Commissions; Short Titles and Popular Names","Conversion therapy, prohibition of; Conversion therapy, prohibition of; Conversion therapy, prohibition of; Conversion therapy, prohibition of; Conversion therapy, prohibition of; Mental Health Protection Act",01/09/20: to Health and Family Services (H),https://apps.legislature.ky.gov/record/20rs/hb199.html
2020 Regular Session,HB180,AN ACT relating to health care insurance waiting periods.,"Insurance, Health; Wages and Hours; Workforce","Coverage, penalties, new employee; New employee, health insurance coverage, penalties; Employer-employee, health insurance, penalties, new employee",01/07/20: to Banking &amp; Insurance (H),https://apps.legislature.ky.gov/record/20rs/hb180.html
2020 Regular Session,HB200,AN ACT related to a tax credit for educator expense.,"Education, Elementary and Secondary; Teachers; Children and Minors","Class size, reduction of; Class size, reduction of; Class size, reduction of",01/09/20: to Education (H),https://apps.legislature.ky.gov/record/20rs/hb200.html
2020 Regular Session,HB211,AN ACT relating to workers&#39; compensation.,Labor and Industry; Workers' Compensation,"Workers' compensation, duration of medical benefits; Medical benefits, duration, changes to",01/10/20: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/20rs/hb211.html
2020 Regular Session,HB216,AN ACT relating to interpersonal violence.,"Domestic Relations; Animals, Livestock, and Poultry; Civil Actions; Corrections Impact; Local Mandate; Jump to Proposed Amendments; House Committee Substitute 1 with Fiscal Impact Statements; House Floor Amendment 1; Votes; Vote History","Domestic violence, conduct against domestic animals, including; Domestic violence, conduct against domestic animals, including; Domestic violence, conduct against domestic animals, including; Domestic violence, conduct against domestic animals, including; Domestic violence, conduct against domestic animals, including",03/26/20: to Judiciary (S),https://apps.legislature.ky.gov/record/20rs/hb216.html
2020 Regular Session,HB225,AN ACT relating to civil rights.,Labor and Industry; Landlord and Tenant; Men; Real Estate; Local Mandate; Civil Rights,"Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination",01/13/20: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/20rs/hb225.html
2020 Regular Session,HB231,AN ACT relating to collective bargaining for public employees.,Labor and Industry; Personnel and Employment; Public Officers and Employees; Public Salaries; State Agencies; State Employees; Wages and Hours; Associations; Civil Rights; Collective Bargaining,"Labor unions, public employees, collective bargaining, wages, workers' compensation; Self-organization, public employees, collective bargaining, right of assocation, wages; State employees, wages, hours, self-organization, unions; Wages, hours, employment, workers' compensation; Employees, collective bargaining, self-organization, right to contract, right to work; Wages, hours, unions, self-organization, collective bargaining, workers' compensation; State employees, unions, collective bargaining, self-organization, workers' compensation; Unions, public employees, collective bargaining, designated representative; Right to contract, public employees, collective bargaining, freedom of association; Unions, public employees, designated representative, right to contract, right to work",01/13/20: to State Government (H),https://apps.legislature.ky.gov/record/20rs/hb231.html
2020 Regular Session,HB239,AN ACT relating to workers&#39; compensation.,Labor and Industry; Physicians and Practitioners; Workers' Compensation; Coal,"Workers' compensation, evaluations for occupational disease; Occupational diseases, physicians eligible to perform evaluations in workers' compensation; Occupational diseases, physicians eligible to perform evaluations; Workers' compensation, evaluations for occupational disease",01/14/20: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/20rs/hb239.html
2020 Regular Session,HB265,AN ACT relating to the reporting of child abuse.,Local Mandate; Crime Victims; Crimes and Punishments; Children and Minors; Clergy,"Child abuse, reporting of; Child abuse, reporting of; Child abuse, reporting of; Child abuse, reporting of; Child abuse, reporting of",01/17/20: to Judiciary (H),https://apps.legislature.ky.gov/record/20rs/hb265.html
2020 Regular Session,HB249,AN ACT relating to prescription drugs.,"Diseases; Drugs and Medicines; Drugs and Medicines; Insurance, Health; Insurance, Health; Pharmacists; Administrative Regulations and Proceedings; Attorney General; Reports Mandated; Effective Dates, Delayed","Diabetes, insulin price reporting requirements, establishment of; Insulin, price reporting requirements, establishment of; Prescription drugs, unrestricted price increases, prohibition of; Cost-sharing amounts, restrictions on; Drug formulary changes, require disclosure of; Sale of less expensive alternative drugs, permitted; Cabinet for Health and Family Services, prescription drug price reporting; Prescription drugs, unrestricted price increases, prohibition of; Cabinet for Health and Family Services, insulin drug prices; Cost-sharing amounts, restrictions on",01/21/20: posted in committee,https://apps.legislature.ky.gov/record/20rs/hb249.html
2020 Regular Session,HB251,AN ACT relating to employment.,Labor and Industry; Local Government; State Employees; Workforce,"Labor organizations, remove limitations on membership; Labor organizations, allow agreement with to require membership as a condition of employment; Organization, authority to associate, organize, and strike; Labor organizations, protections on membership in",01/15/20: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/20rs/hb251.html
2020 Regular Session,HB237,AN ACT relating to mental illness.,Corrections Impact; Crimes and Punishments; Criminal Procedure; Deaths; Mental Disability; Mental Health,"Capital offense, executions, mental illness; Capital offense, executions, mental illness; Capital offense, executions, mental illness; Capital offense, executions, mental illness; Capital offense, executions, mental illness; Capital offense, executions, mental illness",03/06/20: posting withdrawn,https://apps.legislature.ky.gov/record/20rs/hb237.html
2020 Regular Session,HB263,AN ACT relating to computer science education.,"Education, Elementary and Secondary; Science and Technology; State Agencies; Reports Mandated","Computer science courses, increase participation in; Computer science courses, increase participation in; Department of Education, computer science courses, report on; Department of Education, computer science courses",01/17/20: to Education (H),https://apps.legislature.ky.gov/record/20rs/hb263.html
2020 Regular Session,HB286,AN ACT relating to the prescriptive authority of advanced practice registered nurses.,Health and Medical Services; Licensing; Nurses; Occupations and Professions; Physicians and Practitioners; Boards and Commissions; Administrative Regulations and Proceedings,"Advanced practice registered nurses, prescriptive authority of; Licensed advanced practice registered nurses, prescriptive authority of; Advanced practice registered nurses, prescriptive authority of; Advanced practice registered nurses, prescriptive authority of; Advanced practice registered nurses, prescriptive authority of; Nursing board, advanced practice registered nurse licensees, prescriptive authority of; Advanced practice registered nurses, prescriptive authority of",03/17/20: recommitted to Appropriations &amp; Revenue (H),https://apps.legislature.ky.gov/record/20rs/hb286.html
2020 Regular Session,HB296,AN ACT relating to health education.,"Education, Elementary and Secondary; State Agencies; Administrative Regulations and Proceedings; Children and Minors; Boards and Commissions; Reports Mandated","Comprehensive sex education instruction, required for all grades; Department of Education, comprehensive sex education curricula and materials, maintain list of; Board of Education, comprehensive sex education, administrative regulations related to; Public schools, comprehensive sex education instruction, required for all grades; Board of Education, comprehensive sex education, promulgate regulations related to; School districts, report on comprehensive sex education to the Department of Education, biennially",01/23/20: to Education (H),https://apps.legislature.ky.gov/record/20rs/hb296.html
2020 Regular Session,HB326,AN ACT relating to election districts and making an appropriation therefor.,"Crimes and Punishments; Elections and Voting; General Assembly; Legislative Research Commission; Redistricting; Secretary of State; Congressional Districts; Short Titles and Popular Names; Public Meetings; Advisory Boards, Commissions, and Committees","Commission on redistricting, prohibition on influence or accepting of influence, penalty for; Commission on legislative and congressional redistricting, establishment of; Commission on legislative and congressional redistricting, plan proposal, consideration of; Commission on redistricting, expenditure of funds certain, receipt of plans; Commission on legislative and congressional, drawing of districts, establishment of; Convene commission on redistricting, furnish applications to public, selection, vacancy appointment; Commission on redistricting, establishment of; Fair Maps Act; Congressional and legislative redistricting, plan proposals, discussion and input; Legislative and congressional redistricting, establishment of","01/28/20: to Elections, Const. Amendments &amp; Intergovernmental Affairs (H)",https://apps.legislature.ky.gov/record/20rs/hb326.html
2020 Regular Session,HB318,AN ACT relating to Women Veterans&#39; Day.,Historical Affairs; Holidays; Veterans; Commendations and Recognitions; Women; Votes; Vote History,"Women Veterans' Day, designate June 12; Women Veterans' Day, designate June 12; Women Veterans' Day, designate June 12; Women Veterans' Day, designate June 12; Women Veteran's Day, designate June 12",03/19/20: to State &amp; Local Government (S),https://apps.legislature.ky.gov/record/20rs/hb318.html
2020 Regular Session,HB334,AN ACT proposing to create a new section of the Constitution of Kentucky relating to natural resources.,"County Clerks; Elections and Voting; Pollution; Secretary of State; State Agencies; Water Supply; Constitution, Ky.","Proposed constitutional amendment, right to a clean natural environment, with preservation of; Proposed constitutional amendment, right to a clean natural environment, with preservation of; Proposed constitutional amendment, right to a clean natural environment, with preservation of; Proposed constitutional amendment, right to a clean natural environment, with preservation of; Proposed constitutional amendment, right to a clean natural environment, with preservation of; Proposed constitutional amendment, right to a clean natural environment, with preservation of; Right to a clean natural environment, preservation of the natural environment, proposed amendment","01/29/20: to Elections, Const. Amendments &amp; Intergovernmental Affairs (H)",https://apps.legislature.ky.gov/record/20rs/hb334.html
2020 Regular Session,HB329,AN ACT relating to a tax credit for volunteer firefighters.,"Firefighters and Fire Departments; Taxation; Taxation, Income--Individual; Reports Mandated; Fiscal Note","Volunteer firefighters, income tax credit for; Volunteer firefighters, income tax credit for; Volunteer firefighters, tax credit for; Active certified volunteer firefighter tax credit, annual report; Volunteer firefighters, tax credit for",01/29/20: to Appropriations &amp; Revenue (H),https://apps.legislature.ky.gov/record/20rs/hb329.html
2020 Regular Session,HB404,AN ACT relating to polling places.,Elections and Voting; Local Government; Notices; Local Mandate,"Polling places, location change, notice requirements; Polling places, location change, notice requirements; Polling places, location change, notice requirements; Polling places, location change, notice requirements","02/10/20: to Elections, Const. Amendments &amp; Intergovernmental Affairs (H)",https://apps.legislature.ky.gov/record/20rs/hb404.html
2020 Regular Session,HB479,AN ACT relating to policemen&#39;s and firefighters&#39; retirement funds of the urban-county governments.,"Local Mandate; Firefighters and Fire Departments; Police, City and County; Retirement and Pensions; Unified Local Governments; Votes; Vote History","Urban-county governments, police and firefighters retirement fund; Urban-county governments, police and firefighters retirement fund; Urban-county governments, police and firefighters retirement fund; Urban-county governments, police and firefighters retirement fund; Urban-county governments, police and firefighters retirement fund",04/24/20: signed by Governor (Acts Ch. 103),https://apps.legislature.ky.gov/record/20rs/hb479.html
2020 Regular Session,HB453,"AN ACT relating to identity documents, making an appropriation therefor, and declaring an emergency.","Effective Dates, Emergency; Motor Carriers; Motor Vehicles; State Agencies; Transportation; Budget and Financial Administration; Circuit Clerks; Driver Licensing; Driver Licensing; Jump to Proposed Amendments","Operator's license application, transfer to Transportation Cabinet; CDL application, transfer to Transportation Cabinet; Operator's license application, transfer to Transportation Cabinet; Transportation Cabinet, operator's license application, responsibility for; Operator's license application, transfer to Transportation Cabinet; Driver license and ID card fees, distribution; Operator's license application, transfer to Transportation Cabinet; Application, transfer to Transportation Cabinet; Fees, distribution",03/27/20: signed by Governor Acts ch. 51),https://apps.legislature.ky.gov/record/20rs/hb453.html
2020 Regular Session,HB468,AN ACT relating to veterans with qualifying conditions and LGBTQ veterans.,"Education, Elementary and Secondary; Education, Higher; Licensing; Police, State; Veterans; Boards and Commissions; Driver Licensing; Administrative Regulations and Proceedings","Eligible veterans, discharged LGBTQ veterans, amended to include; Children of eligible veterans, discharged LGBTQ veterans, amended to include; Eligible veterans, discharged LGBTQ veterans, amended to include; Hiring preference, eligible veterans, discharged LGBTQ veterans, amended to include; Veteran, definition of, discharged LGBTQ veterans, amended to include; Eligible veterans, discharged LGBTQ veterans, amended to include; Eligible veterans, discharged LGBTQ veterans, amended to include; Veterans' Affairs, discharged LGBTQ veterans, qualification of","02/24/20: to Veterans, Military Affairs, and Public Protection (H)",https://apps.legislature.ky.gov/record/20rs/hb468.html
2020 Regular Session,HB330,AN ACT relating to leave from employment.,Crime Victims; Labor and Industry; Personnel and Employment; Local Mandate,"Leave from employment for court appearances, requirements for the employer and employee; Crime victims, leave from employment; Crime victims, leave from employment; Crime victims, leave from employment",01/29/20: to Economic Development &amp; Workforce Investment (H),https://apps.legislature.ky.gov/record/20rs/hb330.html
2020 Regular Session,HB423,AN ACT relating to the cost of insulin.,"Short Titles and Popular Names; Health Benefit Mandate; Drugs and Medicines; Insurance, Health; State Agencies","Insulin Price Reduction Act; Certified insulin, coverage of; Insulin, certification of; Certified insulin, coverage of; Commissioner of insurance, certified insulin, approval or denial of",02/14/20: to Banking &amp; Insurance (H),https://apps.legislature.ky.gov/record/20rs/hb423.html
2020 Regular Session,HB486,AN ACT relating to expungement.,"Courts, Circuit; Courts, District; Criminal Procedure","Felony expungement, waiting period for, reducing; Misdemeanor expungement, waiting period for, reducing; Felony expungement, waive fee for needy person",02/27/20: to Judiciary (H),https://apps.legislature.ky.gov/record/20rs/hb486.html
2020 Regular Session,HB490,AN ACT relating to civil rights.,"Courts, Circuit; Civil Actions; Civil Rights","Punitive damages, recovery of; Punitive damages, recovery of; Punitive damages, recovery of",02/27/20: to Judiciary (H),https://apps.legislature.ky.gov/record/20rs/hb490.html
2020 Regular Session,HB519,AN ACT relating to epinephrine auto-injectors.,"Drugs and Medicines; Effective Dates, Delayed; Insurance, Health; State Employees; Children and Minors","Epinephrine auto-injectors, insurance coverage for; Epinephrine auto-injectors, insurance coverage for, January 1, 2021; Epinephrine auto-injectors, coverage for; Epinephrine auto-injectors, insurance coverage for; Epinephrine auto-injectors, insurance coverage for",03/02/20: to Banking &amp; Insurance (H),https://apps.legislature.ky.gov/record/20rs/hb519.html
2021 Regular Session,HB12,AN ACT relating to Women Veterans&#39; Day.,Historical Affairs; Holidays; Veterans; Women; Commendations and Recognitions,"Women Veterans' Day, designate June 12; Women Veterans' Day, designate June 12; Women Veterans' Day, designate June 12; Women Veteran's Day, designate June 12; Women Veterans' Day, designate June 12",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb12.html
2021 Regular Session,HB11,AN ACT relating to consumer protections in health insurance.,"Effective Dates, Delayed; Insurance, Health; Insurance, Health; Insurance, Health; Insurance, Health; State Employees; State Employees; State Employees; State Employees; Administrative Regulations and Proceedings","Health benefit plans, consumer protections, contingency; Health benefit plans, essential health benefits, coverage for; Health benefit plans, pre-existing conditions, coverage for; Health benefit plans, insurance eligibility and parity requirements, health status-related factors; Health benefit plans, lifetime and annual limits on benefits coverage, prohibition of; State employee health plan, essential health benefits, coverage for; State employee health plan, pre-existing conditions, coverage for; State employee health plan, insurance eligibility and parity requirements; State employee health plan, lifetime and annual limits on benefits coverage, prohibition of; Department of Insurance, essential health benefits, definition of",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb11.html
2021 Regular Session,HB26,AN ACT relating to interpersonal violence.,"Dogs; Domestic Relations; Animals, Livestock, and Poultry; Civil Actions","Domestic violence, conduct against dogs, inclusion; Domestic violence, conduct against domestic animals, inclusion; Domestic violence, conduct against domestic animals, inclusion; Domestic violence, conduct against domestic animals, inclusion",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb26.html
2021 Regular Session,HB27,AN ACT relating to implicit bias in perinatal care.,Deaths; Health and Medical Services; Health and Medical Services; Hospitals and Nursing Homes; Hospitals and Nursing Homes; Physicians and Practitioners; Physicians and Practitioners; Public Health; Women; Short Titles and Popular Names,"Maternal mortality and morbidity, prevention of; Implicit bias training, requiring; Maternal mortality and morbidity, prevention of; Implicit bias training, requiring; Maternal mortality and morbidity, prevention of; Implicit bias training, requiring; Maternal mortality and morbidity, prevention of; Maternal mortality and morbidity, prevention of; Maternal mortality and morbidity, prevention of; Maternal Care Act for Implicit Bias",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb27.html
2021 Regular Session,HB32,AN ACT relating to earned paid sick leave.,Local Mandate; Labor and Industry; Personnel and Employment; Wages and Hours,"Earned paid sick leave provided by employers, requirement; Earned paid sick leave provided by employers, requirement; Earned paid sick leave provided by employers, requirement; Earned paid sick leave provided by employers, requirement",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb32.html
2021 Regular Session,HB42,AN ACT relating to paid parental leave.,Parental Rights; Personnel and Employment; Reproductive Issues; State Employees; Wages and Hours,"Paid parental leave, state employees; Paid parental leave, state employees; Paid parental leave, state employees; Birth or adoption of a child, paid leave of absence established; Paid parental leave, state employees",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb42.html
2021 Regular Session,HB19,AN ACT relating to youth mental health protection and declaring an emergency.,"Effective Dates, Emergency; Mental Health; Occupations and Professions; Physicians and Practitioners; State Agencies; Boards and Commissions; Short Titles and Popular Names","Sexual orientation and gender identity change efforts for minors, prohibition; Sexual orientation and gender identity change efforts for minors, prohibition; Sexual orientation and gender identity change efforts for minors, prohibition; Sexual orientation and gender identity change efforts for minors, prohibition; Department for Public Health, sexual orientation and gender identity change efforts, education; Sexual orientation and gender identity change efforts for minors, prohibition; Youth Mental Health Protection Act",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb19.html
2021 Regular Session,HB48,AN ACT relating to reimbursement for pharmacist services.,Workers' Compensation; Health Benefit Mandate; Insurance; Pharmacists; State Employees; Votes; Vote History,"Pharmacist reimbursement practices, requirements; Pharmacist reimbursement practices, requirements; Pharmacist reimbursement practices, requirements; Pharmacist reimbursement practices, requirements; Health plan, pharmacist reimbursement practices",03/18/21: signed by Governor (Acts Ch. 30),https://apps.legislature.ky.gov/record/21rs/hb48.html
2021 Regular Session,HB55,AN ACT relating to prevailing wage.,Local Mandate; Labor and Industry; Public Works; Wages and Hours,"Prevailing wage, public works, creating; Prevailing wage, public works, creating; Prevailing wage, creating; Prevailing wage for public works, creating",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb55.html
2021 Regular Session,HB57,AN ACT relating to torture of a dog or cat.,"Criminal Procedure; Dogs; Animals, Livestock, and Poultry; Corrections Impact; Local Mandate; Crimes and Punishments","Torture of dog or cat, penalty increase; Torture, penalty increase; Dogs and cats, torture; Torture of dog or cat, penalty increase; Torture of dog or cat, penalty increase; Torture of dog or cat, penalty increase",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb57.html
2021 Regular Session,HB62,AN ACT relating to occupational disease claims.,Labor and Industry; Workers' Compensation; Coal,"Workers' compensation, requirements to reopen an occupational disease claim; Occupational disease, requirements to reopen a claim; Miners, requirements to reopen an occupational disease claim",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb62.html
2021 Regular Session,HB74,AN ACT relating to health care to provide for an all-payer claims database and making an appropriation therefor.,"Health and Medical Services; Insurance, Health; Public Health; State Agencies; State Agencies; Administrative Regulations and Proceedings; Administrative Regulations and Proceedings; Appropriations; Short Titles and Popular Names; Advisory Boards, Commissions, and Committees","Kentucky all-payer claims database, establishment; Kentucky all-payer claims database, establishment; Kentucky all-payer claims database, establishment; Department of Insurance, Kentucky all-payer claims database, penalty for noncompliance; Office of Health Data and Analytics, Kentucky all-payer claims database, administration; Department of Insurance, Kentucky all-payer claims database, penalty for noncompliance; Office of Health Data and Analytics, Kentucky all-payer claims database, administration; Kentucky all-payer claims database fund, establishment; Kentucky Transparency and Health Care Pricing Act of 2021; Kentucky all-payer claims database advisory committee, establishment",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb74.html
2021 Regular Session,HB78,AN ACT relating to unemployment insurance.,Local Mandate; Crime Victims; Domestic Relations; Labor and Industry; Unemployment Compensation; Reports Mandated,"Unemployment conpensation, workers dsiplaced by domestic violence, abuse, sexual assault, stalking; Unemployment compensation, workers displaced by domestic violence, abuse, sexual assault, stalking; Unemployment compensation, workers displaced by domestic violence, abuse, sexual assault, stalking; Unemployment compensation, workers displaced by domestic violence, abuse, sexual assault, stalking; Benefits for workers displaced by domestic or dating violence and abuse, sexual assault, or stalking; Unemployment insurance, domestic or dating violence, sexual assault, or stalking",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb78.html
2021 Regular Session,HB100,AN ACT relating to animal cruelty.,"Dogs; Peace Officers and Law Enforcement; Animals, Livestock, and Poultry; Civil Actions; Civil Procedure; Horses and Horse Racing","Animal seizure, cost-of-care petition; Animal seizure, cost-of-care petition; Animal seizure, cost-of-care petition; Seized animal cost-of-care petition; Seized animal cost-of-care petition; Animal seizure, cost-of-care petition",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb100.html
2021 Regular Session,HB95,AN ACT relating to prescription insulin.,"Health Benefit Mandate; Diseases; Drugs and Medicines; Effective Dates, Delayed; Insurance, Health; Jump to Proposed Amendments; House Committee Substitute 1 with Fiscal Impact Statements; Senate Committee Substitute 1 with Fiscal Impact Statements; Senate Floor Amendment 1; Senate Floor Amendment 2","Prescription insulin drugs, cost sharing, cap; Diabetes, prescription insulin drugs, cost sharing, cap; Prescription insulin drugs, cost sharing, cap; Prescription insulin drugs, cost sharing, January 1, 2022; Prescription insulin drugs, cost sharing, cap",03/22/21: signed by Governor (Acts Ch. 75),https://apps.legislature.ky.gov/record/21rs/hb95.html
2021 Regular Session,HB116,AN ACT relating to civil rights.,Women; Civil Rights; Local Mandate; Labor and Industry; Landlord and Tenant; Men; Real Estate,"Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination; Sexual orientation and gender identity, prohibition of discrimination",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb116.html
2021 Regular Session,HB92,AN ACT relating to free-standing alternative birthing centers.,Health and Medical Services; Licensing; Nurses; Physicians and Practitioners; Short Titles and Popular Names,"Free-standing alternative birthing centers, licensing and certificate of need; Free-standing alternative birthing centers, licensing and certificate of need; Free-standing alternative birthing centers, licensing and certificate of need; Free-standing alternative birthing centers, licensing and certificate of need; Mary Carol Akers Birth Centers Act",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb92.html
2021 Regular Session,HB118,AN ACT relating to state benefits for veterans.,"Education, Elementary and Secondary; Education, Higher; Licensing; Police, State; Veterans; Boards and Commissions; Driver Licensing","Eligible veterans, discharged LGBTQ veterans, amended to include; Children of eligible veterans, discharged LGBTQ veterans, amended to include; Eligible veterans, discharged LGBTQ veterans, amended to include; Hiring preference, eligible veterans, discharged LGBTQ veterans, amended to include; Veteran, definition of, discharged LGBTQ veterans, amended to include; Eligible veterans, discharged LGBTQ veterans, amended to include; Eligible veterans, discharged LGBTQ veterans, amended to include",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb118.html
2021 Regular Session,HB119,AN ACT relating to health benefit coverage of chronic pain treatments.,"Drugs and Medicines; Effective Dates, Delayed; Health and Medical Services; Health and Medical Services; Insurance, Health; Physicians and Practitioners; Public Medical Assistance; Substance Abuse; Medicaid","Alternative treatments, chronic pain; Chronic pain treatments, January 1, 2022; Alternative treatments, chronic pain; Chronic pain treatments, coverage; Chronic pain treatments, coverage; Alternative treatments, chronic pain; Chronic pain treatments, coverage; Alternative treatments, chronic pain; Chronic pain treatments, coverage",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb119.html
2021 Regular Session,HB81,AN ACT relating to sexual offenses by peace officers.,"Crime Victims; Crimes and Punishments; Criminal Procedure; Police, City and County; Police, State; Corrections Impact; Local Mandate","Peace officers, sex with person in custody or under arrest, prohibition; Peace officers, sex with person in custody or under arrest, prohibition; Peace officers, sex with person in custody or under arrest, prohibition; Sex with person in custody or under arrest, prohibition; Sex with person in custody or under arrest, prohibition; Peace officers, sex with person in custody or under arrest, prohibition; Peace officers, sex with person in custody or under arrest, prohibition",01/05/21: to Committee on Committees (H),https://apps.legislature.ky.gov/record/21rs/hb81.html
